Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,2395.39990234375,2404.0,2382.0,2387.550048828125,2299.204833984375,830096
2021-01-04,2405.0,2430.0,2400.699951171875,2426.5,2336.713623046875,1614486
2021-01-05,2405.0,2456.949951171875,2405.0,2450.550048828125,2359.8740234375,2356303
2021-01-06,2445.800048828125,2450.0,2401.60009765625,2417.300048828125,2327.85400390625,1641627
2021-01-07,2432.0,2432.699951171875,2365.0,2368.85009765625,2281.197021484375,2403881
2021-01-08,2390.0,2400.0,2360.800048828125,2391.199951171875,2302.7197265625,2797948
2021-01-11,2425.0,2441.949951171875,2402.10009765625,2429.10009765625,2339.217529296875,2787672
2021-01-12,2429.800048828125,2433.10009765625,2372.0,2375.89990234375,2287.98583984375,2036708
2021-01-13,2381.89990234375,2398.0,2364.60009765625,2372.35009765625,2284.5673828125,1702740
2021-01-14,2366.0,2406.0,2351.14990234375,2398.550048828125,2309.7978515625,2120413
2021-01-15,2392.5,2407.0,2342.800048828125,2351.14990234375,2264.152099609375,2042957
2021-01-18,2374.5,2374.5,2320.64990234375,2332.60009765625,2246.2880859375,1733797
2021-01-19,2342.0,2382.10009765625,2323.25,2363.14990234375,2275.7080078125,1495269
2021-01-20,2357.0,2373.949951171875,2346.300048828125,2355.949951171875,2268.774169921875,1380562
2021-01-21,2376.0,2399.89990234375,2350.0,2367.64990234375,2280.041259765625,1521133
2021-01-22,2359.0,2422.0,2357.0,2409.35009765625,2320.1982421875,2548089
2021-01-25,2420.0,2432.35009765625,2385.0,2399.60009765625,2310.809326171875,2124424
2021-01-27,2425.0,2425.0,2335.0,2391.300048828125,2302.816162109375,2460297
2021-01-28,2367.89990234375,2411.550048828125,2290.0,2300.39990234375,2215.279541015625,3867335
2021-01-29,2315.10009765625,2322.300048828125,2251.0,2263.89990234375,2180.13037109375,4472694
2021-02-01,2276.64990234375,2285.0,2226.199951171875,2248.60009765625,2165.396484375,2717591
2021-02-02,2271.050048828125,2275.0,2205.0,2230.449951171875,2147.917724609375,4215607
