Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,3839.0,3867.89990234375,3817.85009765625,3849.050048828125,3804.21337890625,344329
2021-01-04,3853.0,3914.949951171875,3849.0,3862.25,3817.259521484375,578164
2021-01-05,3858.25,3880.5,3804.050048828125,3842.10009765625,3797.344482421875,621125
2021-01-06,3847.0,3889.300048828125,3815.550048828125,3879.85009765625,3834.654541015625,486212
2021-01-07,3890.0,3904.0,3791.0,3803.050048828125,3758.749267578125,731225
2021-01-08,3819.0,3868.699951171875,3810.10009765625,3859.14990234375,3814.195556640625,594069
2021-01-11,3884.89990234375,3888.949951171875,3805.5,3822.39990234375,3777.873779296875,581207
2021-01-12,3822.949951171875,3831.85009765625,3741.0,3767.5,3723.61328125,758091
2021-01-13,3788.5,3792.199951171875,3675.75,3719.39990234375,3676.073486328125,1142472
2021-01-14,3738.39990234375,3740.0,3684.0,3724.699951171875,3681.311767578125,826368
2021-01-15,3760.0,3762.800048828125,3633.0,3644.800048828125,3602.3427734375,1048279
2021-01-18,3640.0,3659.0,3551.0,3565.300048828125,3523.768798828125,952462
2021-01-19,3576.0,3631.0,3555.199951171875,3599.449951171875,3557.52099609375,834021
2021-01-20,3630.0,3666.10009765625,3597.050048828125,3605.699951171875,3563.697998046875,730498
2021-01-21,3650.0,3650.0,3590.0,3604.60009765625,3562.611083984375,706058
2021-01-22,3604.60009765625,3613.75,3530.0,3544.699951171875,3503.40869140625,720287
2021-01-25,3562.0,3589.39990234375,3481.699951171875,3569.050048828125,3527.47509765625,926197
2021-01-27,3594.89990234375,3600.0,3469.89990234375,3483.050048828125,3442.476806640625,944951
2021-01-28,3460.0,3496.699951171875,3410.0,3429.75,3389.7978515625,717703
2021-01-29,3450.0,3458.0,3360.10009765625,3369.85009765625,3330.595703125,1015705
2021-02-01,3418.0,3520.0,3311.39990234375,3463.60009765625,3423.25341796875,998291
2021-02-02,3540.0,3567.699951171875,3446.10009765625,3548.60009765625,3507.26318359375,1624774
2021-02-03,3590.0,3716.89990234375,3561.25,3680.25,3637.379638671875,1693164
2021-02-04,3713.949951171875,3724.75,3651.0,3678.89990234375,3636.045166015625,908879
2021-02-05,3699.0,3859.800048828125,3665.050048828125,3822.449951171875,3777.923095703125,2152555
2021-02-08,3799.0,3888.0,3650.0,3781.85009765625,3737.79638671875,2744564
2021-02-09,3783.050048828125,3841.25,3705.050048828125,3722.75,3679.384521484375,1319497
2021-02-10,3740.0,3760.0,3675.39990234375,3750.35009765625,3706.6630859375,953446
2021-02-11,3719.60009765625,3764.699951171875,3712.0,3753.85009765625,3710.122314453125,422563
2021-02-12,3753.85009765625,3753.85009765625,3695.14990234375,3719.39990234375,3676.073486328125,561226
2021-02-15,3721.0,3749.75,3702.0,3711.050048828125,3667.821044921875,426787
2021-02-16,3711.050048828125,3719.449951171875,3666.0,3686.5,3643.556884765625,392393
2021-02-17,3672.0,3675.0,3590.0,3615.25,3573.13671875,691346
2021-02-18,3596.0,3648.0,3573.0,3587.64990234375,3545.858154296875,884937
2021-02-19,3588.0,3605.0,3490.0,3523.199951171875,3482.1591796875,745416
2021-02-22,3510.0,3563.0,3475.0,3496.64990234375,3455.91845703125,846786
2021-02-23,3485.0,3519.0,3440.85009765625,3448.25,3408.082275390625,511326
2021-02-24,3496.89990234375,3509.800048828125,3412.39990234375,3480.050048828125,3439.51171875,409153
2021-02-25,3477.25,3513.5,3432.0,3440.050048828125,3399.977783203125,876984
2021-02-26,3419.5,3485.89990234375,3326.39990234375,3363.10009765625,3323.92431640625,1701176
2021-03-01,3396.699951171875,3485.0,3381.35009765625,3461.550048828125,3421.227294921875,660836
2021-03-02,3470.0,3521.949951171875,3455.5,3516.89990234375,3475.932373046875,724413
2021-03-03,3560.0,3573.199951171875,3500.550048828125,3565.14990234375,3523.620361328125,725617
2021-03-04,3550.0,3571.0,3494.050048828125,3553.449951171875,3512.056640625,640664
2021-03-05,3518.0,3550.0,3490.0,3496.89990234375,3456.165283203125,390702
2021-03-08,3522.35009765625,3548.949951171875,3501.0,3507.699951171875,3466.839599609375,372681
2021-03-09,3567.800048828125,3567.800048828125,3461.5,3503.199951171875,3462.39208984375,442271
2021-03-10,3510.0,3543.85009765625,3482.25,3528.10009765625,3487.002197265625,421799
2021-03-12,3532.5,3564.85009765625,3503.550048828125,3512.050048828125,3471.13916015625,600323
2021-03-15,3526.0,3526.0,3371.0,3411.0,3371.26611328125,834264
2021-03-16,3429.89990234375,3436.0,3361.050048828125,3378.25,3338.8974609375,793917
2021-03-17,3390.0,3392.35009765625,3345.10009765625,3378.300048828125,3338.947265625,547364
2021-03-18,3398.949951171875,3398.949951171875,3255.10009765625,3272.89990234375,3234.77490234375,622941
2021-03-19,3272.0,3406.550048828125,3153.300048828125,3370.300048828125,3331.040283203125,1744235
2021-03-22,3371.35009765625,3444.0,3350.550048828125,3405.949951171875,3366.27490234375,748535
2021-03-23,3418.0,3509.89990234375,3403.050048828125,3495.949951171875,3455.2265625,787152
